sex,age_cat,race,c_charge_degree,age,priors_count,juv_fel_count,juv_misd_count,juv_other_count,two_year_recid
Male,25 - 45,African-American,M,28,2,0,0,0,0
Male,Less than 25,Hispanic,F,21,0,0,0,0,1
Male,Greater than 45,Caucasian,M,46,2,0,0,1,0
Male,Greater than 45,African-American,F,56,1,0,0,0,0
Male,25 - 45,African-American,F,41,19,0,0,0,0
Male,25 - 45,Hispanic,F,40,8,0,0,0,1
Male,25 - 45,Hispanic,F,30,5,0,0,0,1
Male,Less than 25,African-American,M,24,1,0,0,0,1
Male,25 - 45,African-American,F,25,7,0,0,1,0
Female,25 - 45,Caucasian,M,33,0,0,0,0,0
Male,Greater than 45,Caucasian,M,48,2,0,0,0,0
Male,25 - 45,African-American,F,33,11,0,0,0,1
Male,25 - 45,Hispanic,F,25,0,0,0,0,0
Male,25 - 45,Caucasian,F,25,6,0,0,0,1
Male,Greater than 45,African-American,F,58,38,0,0,0,1
Male,25 - 45,African-American,F,30,7,0,1,1,1
Male,25 - 45,Hispanic,F,37,0,0,0,0,1
Female,25 - 45,Caucasian,F,43,7,0,0,0,0
Male,25 - 45,Caucasian,F,32,0,0,0,0,0
Male,25 - 45,Other,F,33,3,0,0,0,0
Male,25 - 45,Other,F,39,4,0,1,0,1
Male,Greater than 45,Caucasian,F,49,4,0,0,0,0
Male,Less than 25,Caucasian,F,24,0,0,0,0,0
Male,25 - 45,African-American,F,26,1,0,0,0,0
Male,25 - 45,Caucasian,F,42,0,0,0,0,0
Male,Less than 25,African-American,F,22,1,0,0,0,1
Male,25 - 45,Hispanic,F,36,0,0,0,0,0
Male,25 - 45,Caucasian,M,29,7,0,0,1,1
Male,25 - 45,Caucasian,M,39,0,0,0,0,0
Male,25 - 45,African-American,F,27,13,0,2,1,1
Male,25 - 45,Caucasian,F,38,2,0,0,0,1
Male,Less than 25,Caucasian,F,20,0,0,0,0,1
Male,25 - 45,African-American,F,25,4,2,0,0,1
Male,Greater than 45,Caucasian,M,53,0,0,0,0,0
Female,25 - 45,African-American,M,27,0,0,0,0,1
Male,Less than 25,Other,F,21,0,0,0,0,1
Male,Greater than 45,Caucasian,M,50,1,0,0,0,1
Male,25 - 45,African-American,F,41,4,0,0,0,0
Male,25 - 45,African-American,F,34,4,0,0,0,1
Male,Less than 25,Caucasian,F,22,5,0,0,2,1
Male,Less than 25,Caucasian,F,22,0,0,0,2,1
Male,25 - 45,African-American,F,25,2,0,0,0,0
Male,25 - 45,African-American,F,42,1,0,0,0,1
Female,25 - 45,Caucasian,F,27,2,0,0,0,0
Male,Greater than 45,Other,F,51,2,0,0,0,0
Male,25 - 45,African-American,F,33,23,0,0,0,1
Male,Less than 25,African-American,F,24,0,0,0,1,0
Male,25 - 45,African-American,F,37,4,0,0,0,0
Male,25 - 45,Caucasian,M,37,0,0,0,0,0
Female,25 - 45,Other,M,27,0,0,0,0,0
Male,Less than 25,Other,F,21,0,0,0,0,0
Male,25 - 45,African-American,F,35,1,0,0,0,1
Female,Less than 25,Caucasian,F,24,0,0,0,0,0
Male,Less than 25,Other,F,21,1,1,0,0,0
Male,Greater than 45,Caucasian,M,49,2,0,0,0,0
Male,25 - 45,African-American,F,38,9,0,0,0,0
Male,Greater than 45,Other,M,61,0,0,0,0,0
Female,25 - 45,African-American,M,30,0,0,0,0,0
Male,Less than 25,African-American,F,22,3,0,0,0,0
Male,25 - 45,African-American,F,25,0,0,0,0,1
Female,25 - 45,Hispanic,M,30,3,0,0,0,1
Male,Greater than 45,Caucasian,M,52,0,0,0,0,0
Male,25 - 45,Caucasian,F,26,0,0,0,0,0
Male,25 - 45,Other,M,26,0,0,0,0,0
Male,25 - 45,African-American,F,29,6,0,1,0,0
Male,Greater than 45,Caucasian,F,45,9,0,0,0,1
Male,Less than 25,African-American,F,20,0,0,0,0,1
Male,25 - 45,African-American,F,29,4,0,0,0,0
Male,25 - 45,Caucasian,F,43,1,0,0,0,1
Male,25 - 45,Caucasian,F,26,2,0,0,0,0
Female,Greater than 45,African-American,F,46,4,0,0,0,0
Female,Greater than 45,African-American,F,46,0,0,0,0,0
Male,25 - 45,Caucasian,F,39,8,0,0,0,0
Male,25 - 45,African-American,F,29,12,0,0,0,1
Male,25 - 45,Caucasian,M,41,0,0,0,0,0
Male,25 - 45,African-American,F,29,11,0,0,1,1
Female,25 - 45,African-American,F,25,5,0,0,0,0
Male,Less than 25,African-American,F,23,2,1,0,0,0
Female,Greater than 45,African-American,F,46,1,0,0,0,1
Male,25 - 45,Caucasian,M,30,0,0,0,0,0
Male,25 - 45,Caucasian,F,34,1,0,0,0,0
Male,Greater than 45,Caucasian,F,70,11,0,0,0,1
Male,Greater than 45,Caucasian,F,52,2,0,0,0,0
Male,Greater than 45,African-American,M,51,4,0,0,0,0
Female,Greater than 45,Native American,F,45,15,0,0,0,1
Male,Greater than 45,African-American,F,55,21,0,0,0,1
Female,Greater than 45,Caucasian,F,49,1,0,0,0,0
Female,25 - 45,African-American,M,26,9,0,0,0,1
Female,Greater than 45,Caucasian,F,47,0,0,0,0,0
Male,25 - 45,African-American,M,27,0,0,0,0,0
Male,25 - 45,Caucasian,M,25,5,0,2,0,1
Male,Less than 25,African-American,F,21,1,0,1,0,1
Male,25 - 45,African-American,F,37,26,0,0,1,1
Male,Less than 25,African-American,F,21,1,0,0,0,1
Male,Less than 25,African-American,F,21,0,0,0,0,0
Male,25 - 45,African-American,F,25,4,0,0,0,1
Female,25 - 45,African-American,F,27,3,0,0,0,1
Male,25 - 45,Caucasian,F,30,3,0,0,0,1
Male,Greater than 45,Caucasian,M,70,0,0,0,0,0
Male,25 - 45,Caucasian,F,37,11,0,0,0,1
Male,Greater than 45,African-American,F,46,5,0,0,0,1
Male,25 - 45,Other,M,40,4,0,0,0,1
Male,Less than 25,African-American,F,20,1,1,0,0,1
Male,25 - 45,African-American,F,43,18,0,0,0,1
Male,25 - 45,African-American,F,38,15,0,0,0,0
Male,25 - 45,African-American,F,29,0,0,0,0,0
Male,25 - 45,African-American,M,37,8,0,0,0,1
Male,25 - 45,Hispanic,F,38,3,0,0,0,0
Female,25 - 45,Caucasian,F,27,0,0,0,0,0
Female,Less than 25,Other,M,20,0,0,0,0,1
Male,25 - 45,Hispanic,M,44,0,0,0,0,0
Male,25 - 45,Caucasian,M,31,6,0,0,0,0
Male,25 - 45,African-American,F,29,3,0,0,0,1
Male,Greater than 45,Caucasian,F,48,13,0,0,0,1
Female,25 - 45,African-American,M,30,0,0,0,0,0
Female,25 - 45,Caucasian,F,25,2,0,0,0,1
Male,25 - 45,African-American,F,40,3,0,0,0,0
Female,Greater than 45,Caucasian,F,49,3,0,0,0,0
Male,25 - 45,Caucasian,M,33,1,0,0,0,0
Male,25 - 45,Caucasian,F,26,5,0,0,0,1
Male,25 - 45,Hispanic,M,31,1,0,1,0,0
Male,Greater than 45,Caucasian,M,61,1,0,0,0,0
Male,25 - 45,Caucasian,F,30,2,0,0,0,0
Male,Greater than 45,Caucasian,M,62,0,0,0,0,0
Female,25 - 45,Caucasian,M,27,4,0,0,0,1
Male,Greater than 45,Caucasian,F,48,9,0,0,0,0
Female,25 - 45,Caucasian,F,40,0,0,0,0,0
Male,Less than 25,Caucasian,F,24,0,0,0,0,0
Male,Less than 25,African-American,F,22,0,0,0,0,1
Male,25 - 45,African-American,M,30,4,0,0,0,1
Male,Greater than 45,Caucasian,M,63,0,0,0,0,0
Male,Greater than 45,Hispanic,M,46,0,0,0,0,0
Male,25 - 45,African-American,F,33,4,0,0,0,0
Female,Less than 25,African-American,F,21,1,1,0,0,1
Male,25 - 45,Caucasian,M,43,0,0,0,0,1
Male,25 - 45,African-American,F,26,3,0,0,0,1
Male,Greater than 45,African-American,F,51,1,0,0,0,0
Male,25 - 45,Caucasian,F,39,3,0,0,0,1
Female,25 - 45,Hispanic,M,30,0,0,0,0,1
Male,25 - 45,African-American,F,32,14,0,0,0,1
Male,Less than 25,African-American,M,22,0,0,0,0,0
Male,Greater than 45,Caucasian,F,59,0,0,0,0,0
Male,25 - 45,African-American,M,38,37,0,5,0,1
Male,Less than 25,African-American,F,23,2,0,0,0,0
Male,25 - 45,African-American,M,42,0,0,0,0,1
Male,Less than 25,African-American,F,20,1,1,0,0,1
Male,25 - 45,African-American,F,38,2,0,0,0,1
Female,25 - 45,Caucasian,F,34,2,0,0,0,0
Female,25 - 45,African-American,F,36,7,0,0,0,1
Male,25 - 45,Caucasian,F,35,7,0,0,0,1
Male,25 - 45,African-American,M,36,0,0,0,0,1
Male,25 - 45,African-American,F,31,1,0,0,0,0
Female,25 - 45,African-American,F,28,3,0,0,0,1
Male,25 - 45,African-American,F,28,1,0,0,0,1
Male,Greater than 45,Caucasian,F,60,3,0,0,0,0
Male,25 - 45,African-American,F,43,0,0,0,0,0
Male,25 - 45,African-American,F,40,1,0,0,0,0
Male,25 - 45,African-American,F,31,15,0,2,0,1
Male,Greater than 45,African-American,F,54,6,0,0,0,1
Male,25 - 45,African-American,F,26,1,0,0,0,0
Male,Less than 25,African-American,F,24,17,0,0,0,1
Male,25 - 45,Hispanic,F,41,0,0,0,0,1
Male,Less than 25,African-American,F,21,1,0,0,1,1
Female,25 - 45,Hispanic,F,29,1,0,0,0,1
Male,Less than 25,African-American,F,22,0,0,0,1,0
Male,Greater than 45,Hispanic,F,52,9,0,0,0,1
Female,25 - 45,Other,F,40,0,0,0,0,0
Female,25 - 45,Caucasian,F,37,0,0,0,0,0
Male,Less than 25,Other,F,21,1,0,0,0,0
Female,Greater than 45,African-American,F,45,1,0,0,0,0
Male,25 - 45,African-American,M,29,1,0,0,0,1
Male,Greater than 45,African-American,F,46,10,0,0,0,1
Male,Less than 25,Caucasian,F,21,1,0,1,2,0
Male,Greater than 45,African-American,M,50,7,1,0,0,0
Male,25 - 45,Caucasian,F,35,6,0,0,0,1
Male,Greater than 45,African-American,M,52,1,0,0,0,1
Male,Greater than 45,Caucasian,M,48,0,0,0,0,0
Female,25 - 45,African-American,M,29,9,0,0,3,1
Male,Greater than 45,Caucasian,M,48,0,0,0,0,0
Male,25 - 45,African-American,F,31,10,0,0,0,1
Male,Less than 25,Caucasian,F,21,3,0,0,0,1
Male,25 - 45,Other,F,32,0,0,0,0,1
Male,Greater than 45,African-American,M,47,0,0,0,0,0
Male,Greater than 45,African-American,M,62,1,0,0,0,0
Male,Less than 25,African-American,F,21,3,1,2,2,1
Male,25 - 45,African-American,F,35,13,3,0,0,0
Male,Greater than 45,African-American,M,46,3,0,0,0,1
Male,25 - 45,African-American,F,34,5,0,0,0,1
Male,Greater than 45,African-American,F,52,2,0,0,0,0
Female,25 - 45,African-American,F,39,7,0,1,0,0
Male,Less than 25,Caucasian,M,21,0,0,0,0,1
Male,Greater than 45,Caucasian,M,53,1,0,0,0,0
Female,Less than 25,Caucasian,F,19,0,0,0,0,1
Male,Less than 25,African-American,M,22,0,0,0,0,0
Male,Greater than 45,African-American,F,45,1,0,0,0,0
Female,25 - 45,Caucasian,F,27,0,0,0,0,0
Male,25 - 45,Caucasian,M,25,0,0,0,0,0
Male,25 - 45,Caucasian,F,30,0,0,0,0,1
Male,25 - 45,African-American,F,31,2,0,0,0,1
Male,25 - 45,Caucasian,F,28,3,0,0,0,0
Male,25 - 45,African-American,M,36,3,0,0,0,1
Male,25 - 45,African-American,F,27,7,0,0,0,1
Male,25 - 45,African-American,F,42,1,0,0,0,0
Male,25 - 45,Caucasian,F,35,0,0,0,0,1
Female,25 - 45,Caucasian,F,33,2,0,0,0,0
Male,Less than 25,Hispanic,F,24,6,1,0,0,1
Male,25 - 45,African-American,F,25,21,0,1,0,1
Female,25 - 45,Caucasian,M,42,0,0,0,0,0
Male,Less than 25,African-American,F,21,0,0,0,0,1
Female,25 - 45,African-American,M,28,0,0,0,0,0
Male,25 - 45,African-American,F,27,25,0,0,0,1
Female,Less than 25,Caucasian,F,21,0,0,0,0,0
Male,25 - 45,Caucasian,M,26,0,0,0,0,1
Male,25 - 45,Caucasian,F,36,0,0,0,0,0
Male,Less than 25,African-American,M,23,1,0,0,0,1
Male,Greater than 45,Caucasian,F,49,0,0,0,0,1
Male,25 - 45,African-American,F,29,11,0,0,0,1
Male,25 - 45,Caucasian,F,44,0,0,0,0,1
Male,25 - 45,Caucasian,M,28,1,0,0,0,0
Male,25 - 45,African-American,M,27,2,0,0,0,1
Female,25 - 45,African-American,F,35,12,0,0,0,1
Male,25 - 45,African-American,M,36,19,0,0,0,1
Male,Greater than 45,Caucasian,M,46,2,0,0,0,0
Male,25 - 45,African-American,F,34,3,0,0,0,0
Male,Greater than 45,African-American,F,45,15,0,0,0,1
Male,25 - 45,African-American,F,28,9,0,0,0,1
Female,25 - 45,African-American,F,25,1,0,0,0,0
Male,Less than 25,African-American,M,21,1,0,1,0,0
Male,Greater than 45,African-American,F,48,1,0,0,0,0
Male,25 - 45,Caucasian,M,37,1,0,0,0,0
Male,Less than 25,African-American,F,24,3,0,0,0,1
Male,25 - 45,Caucasian,M,37,1,0,0,0,1
Male,25 - 45,Caucasian,F,39,1,0,0,0,0
Male,Less than 25,Caucasian,F,24,1,0,0,1,1
Male,Greater than 45,Other,F,49,2,0,0,0,0
Male,25 - 45,African-American,F,35,3,0,0,0,1
Male,Less than 25,African-American,F,23,1,0,0,0,1
Male,25 - 45,Caucasian,F,36,4,0,0,0,1
Male,25 - 45,Caucasian,F,43,5,0,0,0,0
Male,25 - 45,African-American,M,28,6,0,0,0,1
Female,Less than 25,African-American,F,21,4,1,0,0,1
Male,Greater than 45,African-American,M,53,1,0,0,0,0
Female,25 - 45,African-American,M,27,2,0,0,0,1
Male,25 - 45,Caucasian,M,39,0,0,0,0,0
Male,Greater than 45,African-American,F,47,22,0,0,0,1
Male,25 - 45,African-American,F,28,4,0,0,0,1
Male,Greater than 45,Caucasian,F,49,7,0,0,0,0
Male,25 - 45,Caucasian,F,36,2,0,0,0,0
Female,Less than 25,African-American,F,24,1,0,0,0,0
Male,25 - 45,Hispanic,M,35,0,0,0,0,0
Male,Less than 25,African-American,F,23,3,0,0,0,0
Male,25 - 45,African-American,F,26,2,0,0,0,0
Male,25 - 45,African-American,F,31,7,0,0,0,1
Female,25 - 45,African-American,F,30,14,0,3,2,1
Male,25 - 45,Caucasian,M,25,2,0,0,0,0
Male,Less than 25,African-American,F,24,6,0,0,0,1
Male,25 - 45,Hispanic,F,34,1,0,0,0,1
Male,25 - 45,African-American,M,26,2,0,0,0,0
Male,25 - 45,African-American,M,26,7,0,0,0,0
Male,Greater than 45,Hispanic,F,60,0,0,0,0,0
Female,Less than 25,African-American,F,20,0,0,0,0,0
Male,25 - 45,Caucasian,M,36,10,1,0,0,1
Male,Less than 25,Caucasian,F,23,0,0,0,0,0
Male,25 - 45,African-American,F,26,5,0,0,0,1
Male,25 - 45,Caucasian,M,40,4,0,0,0,0
Male,25 - 45,Other,F,28,1,0,0,0,1
Male,Greater than 45,Hispanic,F,49,1,0,0,0,1
Male,Greater than 45,African-American,F,46,8,0,0,0,1
Male,Less than 25,African-American,F,19,1,0,1,0,1
Male,Greater than 45,Caucasian,F,53,1,0,0,0,0
Male,Greater than 45,Caucasian,F,56,5,0,0,0,0
Female,Less than 25,African-American,F,24,0,0,0,0,0
Male,25 - 45,Hispanic,F,31,0,0,0,0,0
Female,25 - 45,Caucasian,F,33,2,0,0,0,0
Male,25 - 45,Caucasian,F,26,8,0,3,0,1
Male,Greater than 45,Caucasian,M,56,1,0,0,0,0
Male,25 - 45,Caucasian,F,32,2,0,0,0,0
Male,25 - 45,Caucasian,F,25,0,0,0,0,1
Male,Less than 25,African-American,F,21,1,0,0,0,0
Male,25 - 45,African-American,F,38,3,0,0,0,0
Male,Less than 25,Caucasian,F,23,0,0,0,0,0
Male,Greater than 45,African-American,M,67,4,0,0,0,0
Male,Less than 25,Caucasian,F,20,0,0,0,1,1
Female,25 - 45,Caucasian,F,39,4,0,0,0,1
Male,Less than 25,African-American,F,24,1,0,0,0,1
Male,Less than 25,Hispanic,F,23,0,0,0,0,0
Male,Greater than 45,African-American,F,49,3,0,0,0,0
Male,25 - 45,African-American,F,31,7,0,0,0,1
Male,Less than 25,African-American,F,20,1,0,0,0,1
Male,25 - 45,Caucasian,M,28,0,0,0,0,0
Male,Greater than 45,Caucasian,F,67,3,0,0,0,0
Male,25 - 45,Hispanic,F,33,0,0,0,0,0
Male,Less than 25,Hispanic,F,20,1,1,0,0,1
Male,25 - 45,Caucasian,F,40,4,0,0,0,0
Male,Greater than 45,African-American,F,52,0,0,0,0,0
Male,Greater than 45,African-American,F,45,17,0,0,0,1
Male,25 - 45,African-American,F,27,8,0,0,1,1
Male,Less than 25,Caucasian,F,22,1,0,0,0,0
Male,25 - 45,Caucasian,F,36,9,0,0,0,0
Male,25 - 45,Caucasian,M,40,0,0,0,0,1
Male,25 - 45,Caucasian,M,30,1,0,0,0,1
Male,25 - 45,African-American,F,42,1,0,0,0,0
Male,Less than 25,African-American,F,24,2,0,0,1,1
Male,Greater than 45,Caucasian,F,46,4,0,0,0,0
Male,25 - 45,African-American,F,38,4,0,0,0,0
Male,25 - 45,Hispanic,F,39,2,0,0,0,1
Female,25 - 45,Hispanic,M,32,0,0,0,0,1
Male,25 - 45,Caucasian,M,26,0,0,0,0,0
Male,Greater than 45,Caucasian,M,54,1,0,0,0,1
Male,25 - 45,Hispanic,F,27,2,0,0,0,0
Male,Greater than 45,Caucasian,F,61,1,0,0,0,0
Male,Greater than 45,African-American,M,51,1,0,0,0,1
Male,Greater than 45,Caucasian,F,57,0,0,0,0,0
Male,Less than 25,Caucasian,M,24,3,0,0,3,1
Male,25 - 45,African-American,F,34,1,0,0,0,0
Male,25 - 45,Hispanic,F,27,1,0,0,0,0
Female,25 - 45,African-American,M,28,10,0,0,0,1
Male,25 - 45,African-American,M,35,10,0,0,0,1
Male,25 - 45,African-American,F,30,6,0,0,0,1
Male,Greater than 45,Other,F,53,1,0,0,0,0
Male,25 - 45,African-American,F,44,0,0,0,0,0
Male,Greater than 45,Caucasian,M,57,3,0,0,0,1
Male,Greater than 45,Caucasian,F,61,10,0,0,0,0
Male,25 - 45,African-American,F,26,1,0,0,0,1
Male,Greater than 45,African-American,F,48,10,1,0,0,1
Male,25 - 45,African-American,M,42,4,0,0,0,0
Male,25 - 45,Caucasian,F,38,10,0,0,0,1
Male,25 - 45,African-American,F,39,4,0,0,0,0
Female,Greater than 45,Caucasian,M,53,0,0,0,0,0
Male,25 - 45,African-American,M,26,3,0,0,0,0
Male,Less than 25,African-American,F,22,1,0,0,0,1
Male,Greater than 45,Caucasian,F,50,0,0,0,0,0
Male,25 - 45,Caucasian,M,44,16,3,0,0,0
Male,Less than 25,African-American,F,24,4,0,1,3,1
Male,Less than 25,African-American,F,21,0,0,0,0,1
Male,Greater than 45,Caucasian,F,50,0,0,0,0,0
Female,25 - 45,Caucasian,M,36,0,0,0,0,0
Male,25 - 45,Caucasian,F,39,0,0,0,0,0
Female,Less than 25,African-American,F,24,2,0,0,0,0
Female,Greater than 45,African-American,F,54,7,0,0,0,0
Male,25 - 45,African-American,M,29,0,0,0,0,0
Male,25 - 45,Caucasian,M,26,0,0,0,0,0
Male,25 - 45,African-American,F,41,3,0,0,0,1
Male,Less than 25,African-American,F,23,1,0,0,0,1
Male,25 - 45,Caucasian,M,34,0,0,0,0,0
Male,25 - 45,Caucasian,F,31,11,0,0,0,1
Male,Less than 25,African-American,F,20,0,0,0,0,0
Male,Greater than 45,African-American,F,49,10,0,0,0,1
Male,25 - 45,African-American,F,26,4,0,0,0,1
Male,25 - 45,African-American,F,28,1,0,0,0,1
Male,25 - 45,African-American,F,26,0,0,0,0,0
Male,Greater than 45,African-American,F,55,1,0,0,0,0
Male,Less than 25,African-American,M,22,0,0,0,0,0
Female,25 - 45,African-American,M,26,0,0,0,0,0
Male,Greater than 45,Other,M,56,0,0,0,0,0
Male,Greater than 45,Caucasian,F,66,1,0,0,0,0
Male,Greater than 45,Other,F,46,2,0,0,0,0
Male,Greater than 45,African-American,F,58,16,0,0,0,1
Male,25 - 45,African-American,F,28,4,0,0,0,0
Male,25 - 45,African-American,F,33,8,0,0,0,0
Female,25 - 45,African-American,M,31,0,0,0,0,0
Male,25 - 45,African-American,M,26,1,0,0,0,0
Male,25 - 45,African-American,M,35,4,0,0,0,0
Female,25 - 45,Caucasian,F,41,12,0,0,0,1
Male,25 - 45,Caucasian,M,34,0,0,0,0,0
Male,25 - 45,Other,F,33,0,0,0,0,0
Female,25 - 45,African-American,F,32,0,0,0,0,0
Male,25 - 45,African-American,F,37,9,0,0,0,1
Male,Greater than 45,African-American,F,50,1,0,0,0,0
Male,25 - 45,Caucasian,F,35,1,0,0,0,0
Female,Greater than 45,Caucasian,M,47,0,0,0,0,1
Female,Greater than 45,African-American,F,52,8,0,0,0,0
Male,25 - 45,African-American,F,26,5,0,1,2,1
Male,25 - 45,African-American,M,36,1,0,0,0,1
Male,Greater than 45,African-American,F,45,13,0,0,0,1
Male,Less than 25,Other,M,19,0,0,0,0,1
Male,25 - 45,African-American,F,41,8,0,0,0,1
Male,Less than 25,African-American,M,24,0,0,0,0,0
Male,Less than 25,African-American,F,21,1,0,1,0,0
Male,Greater than 45,Caucasian,M,54,0,0,0,0,0
Male,Greater than 45,Caucasian,F,49,0,0,0,0,0
Male,25 - 45,Caucasian,F,42,1,0,0,0,0
Male,Less than 25,African-American,F,21,1,0,0,0,1
Male,Greater than 45,African-American,F,61,30,0,0,0,0
Male,Greater than 45,Caucasian,F,46,5,0,0,0,1
Male,Greater than 45,Caucasian,M,74,0,0,0,0,0
Female,25 - 45,Hispanic,F,38,0,0,0,0,0
Male,Greater than 45,Caucasian,M,75,2,0,0,0,0
Female,25 - 45,African-American,F,39,1,0,0,0,0
Female,25 - 45,African-American,F,38,0,0,0,0,0
Male,Less than 25,African-American,F,19,1,1,0,1,1
Male,25 - 45,Caucasian,F,28,0,0,0,0,1
Male,Greater than 45,African-American,F,53,2,0,0,0,0
Male,25 - 45,African-American,F,25,1,0,0,0,1
Male,Greater than 45,Caucasian,M,53,1,0,0,0,0
Male,Greater than 45,African-American,F,53,4,0,0,0,0
Male,Less than 25,African-American,F,23,2,0,1,0,0
Male,Greater than 45,Caucasian,F,55,33,0,0,0,1
Female,Greater than 45,Caucasian,F,64,1,0,0,0,0
Male,Less than 25,African-American,M,23,1,0,0,0,1
Male,25 - 45,Hispanic,M,38,1,0,0,0,0
Male,Less than 25,African-American,F,23,4,0,0,2,1
Female,25 - 45,Hispanic,F,41,0,0,0,0,0
Male,Greater than 45,Other,M,53,0,0,0,0,0
Male,25 - 45,African-American,F,34,0,0,0,0,0
Male,Less than 25,Hispanic,F,24,0,0,0,0,1
Male,25 - 45,African-American,M,26,1,0,0,0,0
Male,25 - 45,Caucasian,F,44,4,0,0,0,0
Female,25 - 45,Caucasian,F,27,0,0,0,0,0
Male,25 - 45,Caucasian,F,28,14,0,0,0,0
Male,Greater than 45,Caucasian,M,55,1,0,0,0,0
Female,Less than 25,African-American,F,22,2,0,0,0,0
Male,25 - 45,African-American,F,36,15,0,0,0,0
Male,25 - 45,African-American,F,29,6,0,0,0,1
Male,Less than 25,African-American,F,23,1,0,0,0,0
Male,Greater than 45,African-American,M,56,1,0,0,0,0
Male,25 - 45,Caucasian,F,27,2,0,0,0,1
Male,25 - 45,Caucasian,M,37,1,0,0,0,0
Male,25 - 45,African-American,F,32,1,0,0,0,1
Male,25 - 45,African-American,M,41,18,2,0,0,1
Male,Less than 25,African-American,F,22,1,0,0,0,1
Male,25 - 45,Caucasian,F,37,1,0,0,0,1
Male,Greater than 45,African-American,M,45,3,0,0,0,0
Female,25 - 45,African-American,F,31,14,0,0,0,0
Male,25 - 45,African-American,F,42,7,0,0,0,1
Male,25 - 45,African-American,F,26,20,0,2,2,1
Male,25 - 45,Caucasian,F,33,0,0,0,0,1
Male,Less than 25,Caucasian,M,22,0,0,0,0,1
Male,25 - 45,Caucasian,F,32,2,0,0,0,1
Female,25 - 45,African-American,M,36,1,0,0,0,0
Male,Greater than 45,Caucasian,M,54,0,0,0,0,0
Male,25 - 45,African-American,F,25,5,0,1,2,1
Male,Less than 25,Caucasian,F,24,3,0,0,0,1
Male,Less than 25,Hispanic,M,23,0,0,0,0,0
Male,Greater than 45,Caucasian,M,61,0,0,0,0,0
Female,25 - 45,Caucasian,M,42,0,0,0,0,0
Male,25 - 45,Caucasian,M,28,1,0,0,0,1
Male,25 - 45,African-American,M,27,1,0,0,0,0
Male,Less than 25,Caucasian,M,24,2,0,0,0,0
Male,25 - 45,African-American,F,33,14,0,0,0,0
Male,25 - 45,African-American,F,32,16,0,0,0,1
Male,25 - 45,Caucasian,F,38,0,0,0,0,0
Male,Less than 25,Caucasian,M,21,1,0,1,1,0
Male,25 - 45,African-American,F,27,1,0,0,0,1
Male,25 - 45,Caucasian,F,39,0,0,0,0,0
Male,25 - 45,Caucasian,F,29,0,0,0,0,0
Male,25 - 45,Caucasian,F,29,1,0,0,0,0
Male,Greater than 45,Caucasian,F,65,6,0,0,0,0
Male,25 - 45,Caucasian,F,36,1,0,0,0,1
Male,Greater than 45,African-American,F,46,0,0,0,0,1
Male,25 - 45,African-American,F,44,7,1,0,0,0
Male,25 - 45,African-American,M,27,0,0,0,0,0
Male,25 - 45,African-American,F,27,8,0,0,0,1
Male,Greater than 45,Caucasian,M,61,0,0,0,0,0
Male,Greater than 45,African-American,M,47,0,0,0,0,1
Male,25 - 45,African-American,M,27,1,0,0,0,0
Male,25 - 45,Caucasian,F,28,0,0,0,0,1
Female,25 - 45,Caucasian,M,31,1,0,0,0,1
Male,25 - 45,Caucasian,M,26,9,0,0,0,1
Male,Greater than 45,African-American,F,53,2,0,0,0,1
Male,25 - 45,African-American,F,26,1,0,0,0,1
Male,25 - 45,African-American,F,25,2,0,0,0,0
Male,Less than 25,Other,M,23,5,0,0,0,1
Female,Less than 25,African-American,M,21,4,0,3,1,1
Male,Less than 25,African-American,M,23,1,0,0,0,0
Male,25 - 45,Other,M,30,3,0,1,1,0
Female,Greater than 45,African-American,F,45,2,0,0,0,0
Male,25 - 45,African-American,M,27,2,0,0,0,1
Male,Greater than 45,African-American,M,57,6,0,0,0,1
Male,25 - 45,Caucasian,F,44,8,0,0,0,1
Female,25 - 45,African-American,M,26,0,0,0,0,0
Male,Less than 25,Caucasian,F,21,0,0,0,0,1
Male,Greater than 45,African-American,F,63,1,0,0,0,0
Female,Greater than 45,Caucasian,M,62,0,0,0,0,0
Male,Greater than 45,Caucasian,F,48,0,0,0,0,0
Male,Greater than 45,African-American,M,53,1,0,0,0,0
Male,Greater than 45,African-American,M,62,3,0,0,0,1
Male,25 - 45,African-American,F,28,5,1,1,0,0
Male,Greater than 45,Caucasian,F,56,1,0,0,0,0
Male,25 - 45,Hispanic,F,35,2,0,0,0,0
Female,Greater than 45,Hispanic,M,56,2,0,0,0,1
Male,Less than 25,African-American,F,22,2,1,0,0,1
Male,25 - 45,African-American,F,26,5,0,0,0,1
Male,25 - 45,African-American,M,35,4,0,0,0,0
Male,Less than 25,African-American,F,22,1,0,0,0,1
Male,Greater than 45,Caucasian,M,60,3,0,0,0,0
Female,25 - 45,African-American,F,37,7,1,0,0,0
Female,25 - 45,African-American,F,32,0,0,0,0,0
Female,25 - 45,African-American,F,33,3,0,0,0,1
Male,25 - 45,Other,F,38,2,0,0,0,1
Male,Greater than 45,Caucasian,M,53,0,0,0,0,0
Male,25 - 45,Caucasian,M,32,0,0,0,0,0
Male,25 - 45,Caucasian,M,26,0,0,0,0,0
Male,Greater than 45,Caucasian,M,61,0,0,0,0,0
Male,Less than 25,African-American,M,21,0,0,0,0,0
Male,Greater than 45,African-American,M,69,22,0,0,0,0
